,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.8281,1.7344,32,37
1,SAT,1.375,1.3281,3,6
2,SAT,1.4062,1.3594,1,1
3,SAT,1.2031,1.1562,1,1
4,SAT,1.2812,1.2188,1,2
5,SAT,1.3281,1.25,2,3
6,SAT,1.3281,1.2656,5,6
7,SAT,1.4844,1.4375,1,1
8,SAT,1.6094,1.5156,7,7
9,SAT,1.3438,1.2812,2,3
10,SAT,1.3594,1.2812,2,6
11,SAT,1.2812,1.2188,5,7
12,SAT,3.2656,3.0,136,136
13,SAT,1.5469,1.4375,8,13
14,SAT,1.9688,1.8594,15,19
15,SAT,1.6094,1.5156,10,13
16,SAT,1.3281,1.25,2,2
17,SAT,1.4062,1.3438,2,4
18,SAT,1.4375,1.3281,3,3
19,SAT,1.4688,1.3438,10,13
20,SAT,1.2969,1.2344,1,4
21,SAT,1.2812,1.2188,1,4
22,SAT,1.4062,1.3281,6,8
23,SAT,1.5469,1.4531,12,16
24,SAT,1.3281,1.25,5,6
25,SAT,1.25,1.2031,0,0
26,SAT,1.3281,1.2656,1,4
27,SAT,1.3125,1.2344,0,0
28,SAT,1.3125,1.2656,2,2
29,SAT,1.2969,1.2344,2,6
30,SAT,1.2188,1.1719,0,2
31,SAT,1.3281,1.2656,2,4
32,SAT,1.3281,1.2656,1,4
33,SAT,1.2656,1.1875,3,9
34,SAT,1.3125,1.2344,2,5
