,result,solving Time,deduction Time,backtracks,splits
506,SAT,1.5083,1.4226,1,3
507,SAT,1.8402,1.7036,1,2
508,SAT,1.486,1.4152,0,0
509,SAT,1.8195,1.6713,1,18
510,SAT,3.5567,3.0564,1,20
511,SAT,1.487,1.4187,0,0
512,SAT,1.4861,1.397,0,0
513,SAT,5.8575,5.1201,2,6
514,SAT,2.9373,2.5915,1,8
515,SAT,1.4743,1.4037,0,0
516,SAT,1.7202,1.5958,1,8
517,SAT,1.5754,1.4819,1,4
518,SAT,1.8868,1.7393,1,7
519,SAT,1.5793,1.4766,1,12
520,SAT,1.5072,1.4169,0,0
521,SAT,1.502,1.4053,1,29
522,SAT,1.4989,1.431,0,0
523,SAT,1.4996,1.432,0,0
524,SAT,1.4878,1.42,0,0
525,SAT,1.7319,1.6198,1,4
526,SAT,1.4602,1.3931,0,0
527,SAT,3.4805,2.9793,2,22
528,SAT,2.6473,2.3818,1,8
529,SAT,1.7709,1.6487,1,2
530,SAT,1.6873,1.5674,1,7
531,SAT,1.66,1.5481,1,10
532,SAT,2.305,2.0821,1,9
533,SAT,1.6129,1.4939,1,15
534,SAT,1.5323,1.4459,2,12
535,SAT,1.48,1.3876,1,5
536,SAT,7.2404,6.2012,2,2
537,SAT,1.5986,1.4936,1,6
538,SAT,1.9124,1.7727,1,2
539,SAT,1.5292,1.4349,1,10
540,SAT,1.593,1.4991,1,7
541,SAT,1.7432,1.6206,1,7
542,SAT,1.4749,1.3961,1,15
543,SAT,1.768,1.6123,1,14
544,SAT,3.0266,2.6822,1,6
545,SAT,1.6147,1.4986,1,22
546,SAT,1.5764,1.4684,1,6
547,SAT,2.1552,1.9464,1,3
548,SAT,2.5184,2.2352,2,27
549,SAT,1.4459,1.3744,1,1
550,SAT,2.514,2.1782,1,7
551,SAT,1.5173,1.4157,2,20
552,SAT,2.0284,1.8339,1,12
553,SAT,1.4695,1.3943,1,4
554,SAT,1.481,1.4107,1,1
555,SAT,4.9876,4.2414,2,31
556,SAT,2.7683,2.434,2,20
557,SAT,1.529,1.4359,0,23
558,SAT,1.5751,1.4735,0,0
559,SAT,1.4881,1.411,0,0
560,SAT,1.5089,1.4393,0,0
561,SAT,1.5148,1.441,0,0
562,SAT,3.3963,2.9489,2,28
563,SAT,1.5111,1.4371,0,0
564,SAT,2.3259,2.1109,1,7
565,SAT,1.8017,1.6559,1,13
566,SAT,1.5463,1.4499,1,10
567,SAT,2.0001,1.8329,1,7
568,SAT,1.5216,1.4357,1,11
569,SAT,1.5058,1.4381,0,0
570,SAT,2.223,2.0125,1,10
571,SAT,2.1457,1.9247,1,18
572,SAT,2.7891,2.4192,3,25
573,SAT,1.6703,1.527,1,3
574,SAT,1.6502,1.5331,1,6
575,SAT,2.4499,2.186,1,15
576,SAT,1.5076,1.4296,0,0
577,SAT,2.2134,1.9883,2,21
578,SAT,1.5636,1.4813,1,4
579,SAT,9.5727,8.1218,2,18
580,SAT,1.5088,1.3983,1,35
581,SAT,1.5209,1.4316,0,0
582,SAT,2.088,1.9208,1,4
583,SAT,1.5142,1.4424,1,1
584,SAT,2.2832,2.0571,1,15
585,SAT,3.7634,3.2591,3,21
586,SAT,1.5278,1.4399,1,15
587,SAT,1.7724,1.6606,1,3
588,SAT,1.7629,1.6126,2,28
589,SAT,2.5178,2.2443,2,14
590,SAT,2.8762,2.5462,2,7
591,SAT,12.9847,10.9575,2,30
592,SAT,1.4975,1.43,0,0
593,SAT,1.6633,1.5111,1,37
594,SAT,1.816,1.6833,2,12
595,SAT,1.6582,1.5461,1,16
596,SAT,1.4598,1.368,0,0
597,SAT,2.1496,1.9517,1,12
598,SAT,1.5648,1.4666,1,17
599,SAT,1.8395,1.6704,1,20
600,SAT,1.4901,1.4174,0,0
601,SAT,1.5212,1.4386,1,5
602,SAT,3.1112,2.7595,2,31
603,SAT,1.595,1.5068,1,2
604,SAT,2.1722,1.948,2,17
605,SAT,1.8713,1.6789,2,29
606,SAT,1.9522,1.7441,2,34
607,SAT,1.6038,1.5085,1,2
608,SAT,1.5596,1.4745,1,14
609,SAT,2.5059,2.228,2,32
610,SAT,1.5821,1.4942,1,4
611,SAT,1.6327,1.4768,1,31
612,SAT,3.3371,2.9233,1,3
613,SAT,1.4745,1.406,0,0
614,SAT,3.3722,2.9437,2,29
615,SAT,1.9804,1.8096,1,14
616,SAT,1.6485,1.5445,1,6
617,SAT,1.5395,1.4385,1,27
618,SAT,1.5473,1.4648,1,7
619,SAT,1.9532,1.7509,2,21
620,SAT,1.5072,1.439,0,0
621,SAT,1.7617,1.6125,2,14
622,SAT,1.4772,1.4043,0,0
623,SAT,2.4981,2.2133,2,20
624,SAT,1.4512,1.3766,0,0
625,SAT,1.6528,1.5509,1,2
626,SAT,1.729,1.5891,1,10
627,SAT,1.5198,1.4216,1,13
628,SAT,2.518,2.2481,1,2
629,SAT,1.4895,1.4213,0,0
630,SAT,1.8093,1.6611,1,14
631,SAT,2.2225,1.9985,2,16
632,SAT,1.4947,1.4141,1,9
633,SAT,1.6713,1.5638,1,10
634,SAT,1.6175,1.5139,1,9
635,SAT,1.5195,1.4247,1,1
636,SAT,1.8138,1.6562,2,15
637,SAT,1.73,1.6155,1,10
638,SAT,1.5337,1.4405,1,3
639,SAT,1.6302,1.5028,1,29
640,SAT,2.0346,1.852,1,4
641,SAT,1.5828,1.4838,1,19
642,SAT,1.5295,1.4373,0,0
643,SAT,1.5121,1.4447,0,0
644,SAT,1.4694,1.402,0,0
645,SAT,1.6165,1.5057,2,16
646,SAT,1.5235,1.431,1,7
647,SAT,6.9479,5.9622,1,5
648,SAT,5.1985,4.3778,3,34
649,SAT,1.4996,1.4178,1,8
650,SAT,1.5035,1.4031,1,8
651,SAT,1.5048,1.4374,0,0
652,SAT,2.0865,1.8858,1,11
653,SAT,10.7459,9.0885,2,12
654,SAT,1.4492,1.3806,0,0
655,SAT,11.1953,9.3757,2,18
656,SAT,1.4794,1.4105,0,0
657,SAT,2.5308,2.203,2,16
658,SAT,3.4791,3.0622,1,11
659,SAT,1.5737,1.4882,1,5
660,SAT,1.4938,1.4092,1,14
