,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.4844,1.4219,12,17
1,SAT,1.3125,1.25,0,0
2,SAT,1.875,1.75,86,106
3,SAT,1.3125,1.2656,0,0
4,SAT,1.3125,1.2344,0,0
5,SAT,1.6875,1.5938,64,75
6,SAT,1.25,1.1875,0,0
7,SAT,1.2812,1.2344,0,0
8,SAT,1.3438,1.2812,0,0
9,SAT,2.3125,2.125,173,205
10,SAT,11.375,9.9844,1347,1358
11,SAT,1.25,1.1719,0,0
12,SAT,1.2812,1.2188,12,27
13,SAT,1.5312,1.4531,27,41
14,SAT,1.375,1.3125,0,26
15,SAT,1.8125,1.6719,87,102
16,SAT,1.3594,1.2969,0,0
17,SAT,1.3594,1.2969,0,0
18,SAT,1.375,1.3125,0,0
19,SAT,1.2969,1.2344,0,0
20,SAT,1.25,1.2031,0,0
21,SAT,1.4375,1.3281,17,21
22,SAT,2.25,2.0156,134,155
23,SAT,1.3906,1.3438,0,0
24,SAT,1.8281,1.75,16,23
25,SAT,2.375,2.1562,265,271
26,SAT,1.3281,1.2656,21,31
27,SAT,2.2656,2.0,130,189
28,SAT,1.25,1.2031,0,0
29,SAT,1.2344,1.1875,0,0
30,SAT,1.4375,1.3594,14,22
31,SAT,1.3281,1.2812,0,0
32,SAT,1.3906,1.2969,16,21
33,SAT,1.2812,1.2344,0,0
34,SAT,3.2344,2.8906,293,295
35,SAT,8.6406,7.7344,773,789
36,SAT,1.2656,1.2188,4,7
37,SAT,1.5156,1.3906,86,93
38,SAT,1.2344,1.1875,0,0
39,SAT,1.5625,1.4531,29,30
40,SAT,24.9375,21.8906,2847,2868
41,SAT,2.125,2.0,0,0
42,SAT,1.8594,1.7344,0,0
43,SAT,1.5312,1.4375,27,37
44,SAT,1.8438,1.7344,94,115
45,SAT,3.0312,2.7656,251,268
46,SAT,1.2812,1.2188,0,0
47,SAT,1.4062,1.3594,0,0
48,SAT,5.4219,4.875,559,574
49,SAT,1.9219,1.75,100,116
50,SAT,1.3125,1.25,0,0
51,SAT,1.2344,1.1719,0,0
52,SAT,1.5,1.4062,23,32
53,SAT,1.2812,1.2188,0,0
54,SAT,1.9219,1.7344,81,95
55,SAT,1.6094,1.4844,51,101
56,SAT,1.3438,1.2969,0,0
57,SAT,1.3906,1.3125,0,0
58,SAT,1.7812,1.625,70,105
59,SAT,3.3594,2.9531,296,313
60,SAT,8.7969,7.8438,808,811
61,SAT,1.2344,1.1875,0,0
62,SAT,1.4219,1.3438,10,18
63,SAT,1.3281,1.2812,0,0
64,SAT,1.2656,1.2188,0,0
65,SAT,1.6406,1.4688,44,79
66,SAT,1.2969,1.25,0,0
67,SAT,2.1406,1.9688,149,184
68,SAT,1.3438,1.2969,0,0
69,SAT,1.2656,1.2188,0,0
70,SAT,2.8281,2.5625,231,261
71,SAT,1.3906,1.2812,24,45
72,SAT,1.4219,1.3594,33,53
73,SAT,6.4531,5.6562,885,901
74,SAT,1.2812,1.2188,0,0
75,SAT,1.2344,1.1719,0,0
76,SAT,1.2812,1.2188,0,0
77,SAT,1.2344,1.1875,0,0
78,SAT,2.375,2.1719,214,224
79,SAT,1.3594,1.2812,10,25
80,SAT,3.4219,3.1719,171,195
81,SAT,3.1094,2.7812,205,241
82,SAT,1.4531,1.3906,0,0
83,SAT,2.3125,2.0938,150,171
84,SAT,1.3594,1.3125,0,0
85,SAT,1.3281,1.2812,15,20
86,SAT,1.3906,1.3438,15,15
87,SAT,1.3281,1.2812,0,0
88,SAT,1.3438,1.2812,0,10
89,SAT,1.3594,1.2812,10,32
90,SAT,1.6562,1.5469,65,83
91,SAT,1.75,1.6562,45,53
92,SAT,2.625,2.375,148,155
93,SAT,1.4062,1.3594,0,0
94,SAT,1.375,1.3125,0,0
95,SAT,2.3906,2.25,125,128
96,SAT,1.4062,1.3281,10,19
97,SAT,1.5938,1.5,29,49
98,SAT,1.6719,1.5625,48,61
99,SAT,1.4375,1.375,0,0
100,SAT,1.3281,1.2656,0,0
101,SAT,1.375,1.3125,0,0
102,SAT,1.6719,1.5469,56,71
103,SAT,1.5312,1.4062,29,40
104,SAT,1.3281,1.2812,0,0
105,SAT,1.4375,1.3594,0,0
106,SAT,1.4844,1.4219,0,0
107,SAT,7.4844,6.4688,890,908
108,SAT,11.7812,10.5156,1180,1201
109,SAT,1.5781,1.5156,0,0
110,SAT,1.5312,1.4688,9,24
111,SAT,1.375,1.2969,0,0
112,SAT,2.3906,2.2031,114,121
