,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.5469,1.4844,0,1
1,SAT,1.4531,1.4062,0,0
2,SAT,1.3281,1.2344,0,3
3,SAT,1.3438,1.2969,0,0
4,SAT,1.7812,1.6719,0,0
5,SAT,1.6875,1.5938,1,1
6,SAT,1.4844,1.4219,0,0
7,SAT,1.2969,1.25,0,0
8,SAT,1.3906,1.2812,0,0
9,SAT,1.5,1.375,1,3
10,SAT,1.5312,1.4531,11,14
11,SAT,1.3438,1.2812,0,0
12,SAT,1.375,1.3125,2,2
13,SAT,1.3438,1.2969,0,1
14,SAT,1.3594,1.2969,0,2
15,SAT,1.375,1.3281,2,3
16,SAT,1.2812,1.2188,0,0
17,SAT,1.3906,1.3125,0,0
18,SAT,1.4688,1.3906,0,0
19,SAT,1.3906,1.2969,0,0
20,SAT,1.3125,1.1875,0,0
21,SAT,1.3906,1.2812,5,6
22,SAT,1.375,1.3125,1,1
23,SAT,1.3438,1.2812,0,0
24,SAT,1.3125,1.2656,0,1
25,SAT,1.4688,1.4062,0,2
26,SAT,1.5469,1.5,1,2
27,SAT,1.375,1.3125,3,5
28,SAT,1.3594,1.2969,0,0
29,SAT,1.3125,1.25,0,0
30,SAT,1.2656,1.2031,1,2
31,SAT,1.2812,1.2344,0,0
32,SAT,1.4219,1.3438,2,2
33,SAT,1.5781,1.5312,0,0
34,SAT,1.3438,1.2656,2,2
35,SAT,1.7812,1.6719,7,9
36,SAT,1.4219,1.3438,0,1
37,SAT,1.375,1.2344,1,2
38,SAT,1.5469,1.4844,0,0
39,SAT,1.4219,1.375,0,2
40,SAT,1.2344,1.1719,0,1
41,SAT,1.5312,1.4531,0,0
42,SAT,1.2969,1.25,0,0
43,SAT,1.3906,1.3125,0,1
44,SAT,1.2969,1.2344,0,2
45,SAT,1.3906,1.2656,0,1
46,SAT,1.3438,1.2969,0,0
47,SAT,1.3906,1.2656,0,0
48,SAT,1.3594,1.3125,2,3
49,SAT,1.3906,1.3281,3,4
50,SAT,1.2812,1.2031,0,0
51,SAT,1.4375,1.2969,0,0
52,SAT,1.4219,1.375,0,1
53,SAT,1.375,1.3125,0,0
54,SAT,1.3438,1.2812,2,3
55,SAT,1.375,1.2812,3,5
56,SAT,1.3125,1.25,0,0
57,SAT,1.3125,1.25,0,0
58,SAT,1.3906,1.3281,1,2
59,SAT,1.4219,1.3438,2,3
60,SAT,1.3594,1.3125,2,2
61,SAT,1.5,1.4062,0,0
62,SAT,1.375,1.3125,1,2
63,SAT,1.5312,1.4688,0,0
64,SAT,1.4219,1.3438,0,0
65,SAT,1.3906,1.3438,1,2
66,SAT,1.4062,1.2812,0,0
67,SAT,1.4531,1.4062,4,5
68,SAT,1.3281,1.25,0,0
69,SAT,1.3438,1.2969,0,0
70,SAT,1.4688,1.4062,11,14
71,SAT,1.3906,1.3281,1,1
72,SAT,1.375,1.2969,0,1
73,SAT,1.4531,1.3906,8,9
74,SAT,1.2812,1.2031,0,0
75,SAT,1.4375,1.3906,0,0
76,SAT,1.3906,1.3125,0,0
77,SAT,1.3906,1.3281,0,0
78,SAT,1.4062,1.3438,2,3
79,SAT,1.4062,1.3438,2,2
80,SAT,1.3594,1.3125,2,2
81,SAT,1.5469,1.4844,9,10
82,SAT,1.3438,1.2656,0,0
83,SAT,1.3281,1.2656,2,3
84,SAT,1.4375,1.375,0,0
85,SAT,1.2812,1.2188,1,1
86,SAT,1.4844,1.4375,1,1
87,SAT,1.2812,1.2344,0,0
88,SAT,1.4531,1.3906,0,1
89,SAT,1.3594,1.2969,3,5
90,SAT,1.5625,1.4844,4,5
91,SAT,1.5156,1.4531,3,4
92,SAT,1.6719,1.5938,2,2
93,SAT,1.3906,1.3125,0,0
94,SAT,1.4844,1.4375,0,0
95,SAT,1.3906,1.3438,2,3
96,SAT,1.5312,1.4688,0,1
97,SAT,1.5,1.4375,4,4
98,SAT,1.5938,1.5312,1,2
99,SAT,1.625,1.5625,0,0
100,SAT,1.2969,1.2344,0,0
101,SAT,1.3438,1.2812,0,0
102,SAT,1.2969,1.2344,2,2
103,SAT,1.2031,1.125,1,2
104,SAT,1.4688,1.4062,0,0
105,SAT,1.2812,1.2344,0,0
106,SAT,1.2969,1.2188,0,0
107,SAT,1.2188,1.1719,1,2
108,SAT,1.2656,1.1875,1,2
109,SAT,1.375,1.2812,0,0
110,SAT,1.2656,1.2031,2,2
111,SAT,1.2969,1.25,0,0
112,SAT,1.1875,1.1406,0,1
113,SAT,1.25,1.1875,0,0
114,SAT,1.2656,1.1875,3,4
115,SAT,1.2031,1.1562,0,1
116,SAT,1.2188,1.1719,0,1
117,SAT,1.2344,1.1875,0,0
