,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.2188,1.1719,1,1
1,SAT,1.2344,1.1875,0,0
2,SAT,1.2344,1.1875,5,5
3,SAT,1.2969,1.25,0,0
4,SAT,1.3125,1.25,0,0
5,SAT,1.25,1.1875,0,1
6,SAT,1.3281,1.2656,0,0
7,SAT,1.3594,1.3125,0,0
8,SAT,1.2656,1.1875,0,0
9,SAT,1.4375,1.3906,2,3
10,SAT,1.5938,1.5312,6,9
11,SAT,1.3906,1.3438,0,0
12,SAT,1.4375,1.375,0,2
13,SAT,1.2188,1.1406,1,1
14,SAT,1.2969,1.25,4,4
15,SAT,1.3125,1.25,4,6
16,SAT,1.4531,1.375,0,0
17,SAT,1.3594,1.2969,0,0
18,SAT,1.4375,1.3906,0,0
19,SAT,1.3594,1.2969,0,0
20,SAT,1.2812,1.2188,0,0
21,SAT,1.6562,1.5781,1,6
22,SAT,1.3281,1.2812,0,1
23,SAT,1.2656,1.2188,0,0
24,SAT,1.2656,1.2188,1,1
25,SAT,1.375,1.3125,7,7
26,SAT,1.375,1.3281,1,2
27,SAT,1.3438,1.2812,1,5
28,SAT,1.2188,1.1562,0,0
29,SAT,1.3594,1.3125,0,0
30,SAT,1.4375,1.375,1,2
31,SAT,1.25,1.1875,0,0
32,SAT,1.2969,1.2344,0,1
33,SAT,1.2344,1.1875,0,0
34,SAT,1.2656,1.2031,0,2
35,SAT,1.3906,1.2656,3,7
36,SAT,1.3594,1.3125,1,1
37,SAT,1.4531,1.3906,2,3
38,SAT,1.4375,1.375,0,0
39,SAT,1.3594,1.2812,4,4
40,SAT,1.4688,1.3906,10,10
41,SAT,1.25,1.2031,0,0
42,SAT,1.2188,1.1719,0,0
43,SAT,1.3438,1.2812,1,1
44,SAT,1.3906,1.3281,7,7
45,SAT,1.5625,1.5,7,8
46,SAT,1.3125,1.25,0,0
47,SAT,1.2969,1.25,0,0
48,SAT,1.25,1.1875,1,3
49,SAT,1.3594,1.2656,6,7
50,SAT,1.2656,1.2031,0,0
51,SAT,1.25,1.1719,0,0
52,SAT,1.3125,1.25,3,3
53,SAT,1.3281,1.2812,0,0
54,SAT,1.3594,1.3125,1,3
55,SAT,1.3594,1.2656,2,5
56,SAT,1.2656,1.2188,0,0
57,SAT,1.2969,1.2344,0,0
58,SAT,1.2344,1.1875,1,2
59,SAT,1.2969,1.2344,1,3
60,SAT,1.2656,1.2031,0,2
61,SAT,1.375,1.3281,0,0
62,SAT,1.3438,1.2969,1,2
63,SAT,1.3281,1.25,0,0
64,SAT,1.3125,1.2656,0,0
65,SAT,1.3594,1.3125,2,3
66,SAT,1.2812,1.2188,0,0
67,SAT,1.3438,1.2812,2,4
68,SAT,1.2969,1.25,0,0
69,SAT,1.2656,1.2188,0,0
70,SAT,1.875,1.7031,25,30
71,SAT,1.2344,1.1875,0,1
72,SAT,1.4219,1.3594,8,8
73,SAT,1.4062,1.3438,2,5
74,SAT,1.4062,1.3438,0,0
75,SAT,1.4531,1.375,0,0
76,SAT,1.2812,1.2188,0,0
77,SAT,1.3125,1.2656,0,0
78,SAT,1.3906,1.3281,4,6
79,SAT,1.2656,1.2031,0,1
80,SAT,1.3125,1.2656,0,2
81,SAT,1.3281,1.2812,1,4
82,SAT,1.3594,1.2969,0,0
83,SAT,1.3438,1.2656,3,5
84,SAT,1.2969,1.2344,0,0
85,SAT,1.4375,1.3906,0,1
86,SAT,1.3906,1.3281,0,1
87,SAT,1.3438,1.2812,0,0
88,SAT,1.75,1.6719,1,1
89,SAT,1.3125,1.2656,2,4
90,SAT,1.3125,1.2344,1,3
91,SAT,1.375,1.3125,3,6
92,SAT,1.4531,1.3906,1,2
93,SAT,1.875,1.8125,0,0
94,SAT,2.1719,2.125,0,0
95,SAT,1.6094,1.5,1,3
96,SAT,1.375,1.3125,1,1
97,SAT,1.3125,1.2656,0,4
98,SAT,1.5156,1.4375,1,2
99,SAT,1.5156,1.4531,0,0
100,SAT,1.5312,1.4688,0,0
101,SAT,1.5625,1.5,0,0
102,SAT,1.5156,1.4375,0,2
103,SAT,1.7344,1.6875,1,2
104,SAT,1.7031,1.5938,0,0
105,SAT,1.6875,1.5781,0,0
106,SAT,1.4219,1.3594,0,0
107,SAT,1.3281,1.2656,2,3
108,SAT,1.5781,1.5156,4,4
109,SAT,1.3438,1.2969,0,0
110,SAT,1.3438,1.2812,0,2
111,SAT,1.3281,1.2656,0,0
112,SAT,1.375,1.3125,1,1
113,SAT,1.2969,1.2344,0,0
114,SAT,1.4531,1.4062,1,2
115,SAT,1.2969,1.2188,1,1
116,SAT,1.4375,1.3906,1,1
117,SAT,1.5938,1.5312,0,0
118,SAT,1.4531,1.4062,0,2
119,SAT,1.5625,1.4688,1,2
120,SAT,1.4531,1.3906,0,1
121,SAT,1.7969,1.7031,7,8
122,SAT,1.7656,1.625,1,5
123,SAT,1.5,1.4219,0,1
124,SAT,1.4844,1.4219,0,1
125,SAT,1.5312,1.4375,6,6
126,SAT,1.5469,1.4844,0,0
127,SAT,1.4375,1.375,0,2
128,SAT,1.4219,1.3594,0,2
129,SAT,1.8281,1.7188,0,11
130,SAT,1.5156,1.4531,1,1
131,SAT,1.5312,1.4688,1,2
132,SAT,1.5312,1.4688,1,2
133,SAT,1.625,1.5625,6,8
134,SAT,1.4375,1.3906,0,0
135,SAT,1.2656,1.2188,0,0
136,SAT,2.0,1.9375,5,7
137,SAT,1.4219,1.3438,0,0
138,SAT,1.5,1.4375,1,4
139,SAT,1.4062,1.3438,1,2
140,SAT,1.4688,1.3906,0,4
141,SAT,1.4219,1.3281,2,3
142,SAT,1.6719,1.625,0,2
143,SAT,1.2969,1.25,1,1
144,SAT,1.2812,1.2188,0,0
145,SAT,1.5938,1.5156,3,5
146,SAT,1.625,1.5469,0,0
147,SAT,1.5781,1.5,2,7
148,SAT,1.2344,1.1875,0,1
149,SAT,1.6406,1.5938,0,0
150,SAT,1.5156,1.4531,0,0
151,SAT,1.3281,1.2812,0,3
152,SAT,1.4844,1.4062,0,4
153,SAT,1.4062,1.3438,5,6
154,SAT,1.4219,1.3438,2,2
155,SAT,1.3906,1.3281,0,0
156,SAT,1.3906,1.3125,0,1
157,SAT,1.5469,1.4688,6,6
158,SAT,1.4531,1.4062,0,2
159,SAT,1.7344,1.6719,0,0
160,SAT,1.4062,1.3125,0,0
161,SAT,1.4531,1.3906,0,0
162,SAT,1.4062,1.3438,0,0
163,SAT,1.3438,1.2969,4,4
164,SAT,1.8906,1.8438,0,0
165,SAT,1.4688,1.4219,1,5
166,SAT,1.4375,1.3906,3,8
167,SAT,1.4844,1.4219,1,1
168,SAT,1.6094,1.5469,4,4
169,SAT,1.2969,1.25,0,0
170,SAT,1.4844,1.4219,0,0
171,SAT,1.3594,1.2969,1,8
172,SAT,1.4375,1.375,1,3
173,SAT,1.4219,1.3594,0,0
174,SAT,1.3438,1.25,1,5
175,SAT,1.5312,1.4844,3,3
176,SAT,1.5156,1.4219,0,1
177,SAT,1.375,1.2812,2,4
178,SAT,1.5312,1.4688,2,3
179,SAT,1.3281,1.2656,0,0
180,SAT,1.4062,1.3438,1,2
181,SAT,1.5156,1.4375,1,4
182,SAT,1.2812,1.2188,0,0
183,SAT,1.3594,1.2969,0,0
184,SAT,1.2812,1.2188,0,0
185,SAT,1.3281,1.2656,3,6
186,SAT,1.5156,1.4375,0,0
187,SAT,1.375,1.3125,1,1
188,SAT,1.3438,1.2812,0,0
189,SAT,1.3594,1.2812,6,7
190,SAT,1.3906,1.3281,2,2
191,SAT,1.7031,1.6562,0,3
192,SAT,1.3594,1.2969,0,2
193,SAT,1.7188,1.6719,2,2
194,SAT,2.0,1.9062,1,1
195,SAT,1.4062,1.3594,0,0
196,SAT,1.3594,1.3125,3,3
197,SAT,1.3594,1.3125,0,1
198,SAT,1.4531,1.4062,2,2
199,SAT,1.5938,1.5156,0,6
200,SAT,1.3125,1.2656,0,0
201,SAT,1.3281,1.2812,0,0
