,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.5625,1.4375,23,27
1,SAT,1.2969,1.25,7,9
2,SAT,1.2188,1.1719,0,2
3,SAT,1.2344,1.1875,0,2
4,SAT,1.3281,1.2344,1,2
5,SAT,1.3438,1.2812,2,5
6,SAT,1.2812,1.2188,1,4
7,SAT,1.3438,1.2969,2,3
8,SAT,1.4375,1.3906,0,4
9,SAT,1.2969,1.25,0,3
10,SAT,1.4375,1.375,4,6
11,SAT,1.5,1.4062,9,10
12,SAT,1.7031,1.5938,32,36
13,SAT,1.5312,1.4531,27,31
14,SAT,1.5625,1.5,6,9
15,SAT,1.2812,1.2188,2,6
16,SAT,1.1875,1.1406,0,2
17,SAT,1.2969,1.25,2,4
18,SAT,2.8438,2.6719,65,70
19,SAT,2.5312,2.2656,61,67
20,SAT,1.4062,1.3438,6,9
21,SAT,1.3281,1.2656,1,3
22,SAT,1.3594,1.3125,2,5
23,SAT,1.6875,1.6094,15,16
24,SAT,1.2656,1.2031,2,3
25,SAT,1.3281,1.2656,0,0
26,SAT,1.4844,1.3906,19,20
27,SAT,1.3594,1.2656,0,0
28,SAT,1.4531,1.4062,6,7
29,SAT,1.3281,1.2812,4,6
30,SAT,1.375,1.3125,7,7
31,SAT,1.3125,1.25,1,3
32,SAT,1.1875,1.1406,0,2
33,SAT,1.4844,1.4062,16,18
34,SAT,1.2969,1.25,8,10
