,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.3192,1.2495,1,2
1,SAT,1.417,1.3426,0,0
2,SAT,1.3893,1.3155,2,4
3,SAT,1.3734,1.3073,0,0
4,SAT,1.3564,1.2892,0,0
5,SAT,1.4175,1.3458,3,4
6,SAT,1.4129,1.3236,0,0
7,SAT,1.3923,1.3247,0,0
8,SAT,1.392,1.3239,0,0
9,SAT,1.3869,1.318,0,1
10,SAT,1.4802,1.3954,2,6
11,SAT,1.3754,1.3079,0,0
12,SAT,1.4083,1.3372,1,2
13,SAT,1.4064,1.3374,0,1
14,SAT,1.4485,1.3543,2,4
15,SAT,1.4781,1.3972,2,7
16,SAT,1.4179,1.346,0,0
17,SAT,1.4107,1.3405,0,0
18,SAT,1.3991,1.3307,0,0
19,SAT,1.4047,1.3361,0,0
20,SAT,1.3792,1.3114,0,0
21,SAT,1.4158,1.3449,4,6
22,SAT,1.5012,1.4066,1,3
23,SAT,1.4111,1.3439,0,0
24,SAT,1.4027,1.333,0,1
25,SAT,1.4922,1.4142,1,2
26,SAT,1.3875,1.317,1,2
27,SAT,1.6483,1.5638,3,6
28,SAT,1.4065,1.3394,0,0
29,SAT,1.4159,1.349,0,0
30,SAT,1.4149,1.3256,0,1
31,SAT,1.397,1.3298,0,0
32,SAT,1.4427,1.3746,1,1
33,SAT,1.4155,1.3478,0,0
34,SAT,1.4137,1.343,1,2
35,SAT,1.4722,1.3926,3,7
36,SAT,1.4215,1.3517,0,1
37,SAT,1.3979,1.3244,2,3
38,SAT,1.451,1.364,0,0
39,SAT,1.4211,1.3493,0,2
40,SAT,1.481,1.4003,2,8
41,SAT,1.3979,1.3304,0,0
42,SAT,1.3899,1.323,0,0
43,SAT,1.4185,1.3489,2,3
44,SAT,1.4675,1.393,5,6
45,SAT,1.566,1.4821,1,5
46,SAT,1.4167,1.3291,0,0
47,SAT,1.4014,1.3294,0,0
48,SAT,1.5979,1.5118,3,6
49,SAT,1.423,1.3531,1,3
50,SAT,1.3974,1.3285,0,0
51,SAT,1.3797,1.3117,0,0
52,SAT,1.435,1.3646,4,5
53,SAT,1.3991,1.3074,0,0
54,SAT,1.5888,1.5029,5,9
55,SAT,1.9002,1.7946,6,10
56,SAT,1.3808,1.3136,0,0
57,SAT,1.4202,1.3492,0,0
58,SAT,1.6772,1.5806,3,7
59,SAT,1.4772,1.3923,3,9
60,SAT,1.4159,1.346,1,2
61,SAT,1.4275,1.34,0,0
62,SAT,1.3983,1.3308,0,3
63,SAT,1.4398,1.3711,0,0
64,SAT,1.4,1.3332,0,0
65,SAT,1.4225,1.3531,1,2
66,SAT,1.3807,1.3136,0,0
67,SAT,1.6069,1.5143,9,17
68,SAT,1.403,1.3356,0,0
69,SAT,1.4155,1.3285,0,0
70,SAT,2.9974,2.8092,6,8
71,SAT,1.4107,1.3397,1,3
72,SAT,1.4654,1.3906,1,2
73,SAT,1.7345,1.6289,5,14
74,SAT,1.3824,1.3153,0,0
75,SAT,1.3851,1.3177,0,0
76,SAT,1.4091,1.3345,0,0
77,SAT,1.4201,1.332,0,0
78,SAT,1.5183,1.4352,2,3
79,SAT,1.412,1.3442,1,1
80,SAT,1.554,1.4694,7,12
81,SAT,1.7578,1.666,1,1
82,SAT,1.4312,1.3617,0,0
83,SAT,1.567,1.4824,4,8
84,SAT,1.4287,1.3578,0,0
85,SAT,1.4593,1.3704,2,4
86,SAT,1.4121,1.3443,1,2
87,SAT,1.3939,1.3261,0,0
88,SAT,1.3997,1.3319,0,1
89,SAT,1.4148,1.3443,4,4
90,SAT,1.4159,1.3444,1,3
91,SAT,1.4458,1.365,1,2
92,SAT,1.6056,1.5025,1,3
93,SAT,1.4021,1.3351,0,0
94,SAT,1.4154,1.3485,0,0
95,SAT,1.5703,1.4889,3,4
96,SAT,1.4084,1.3337,0,1
97,SAT,1.4179,1.3476,1,3
98,SAT,1.4782,1.4039,4,6
99,SAT,1.3896,1.322,0,0
100,SAT,1.4294,1.3394,0,0
101,SAT,1.3926,1.3246,0,0
102,SAT,1.4242,1.3521,1,5
103,SAT,1.3964,1.326,1,4
104,SAT,1.3958,1.3289,0,0
105,SAT,1.3831,1.3159,0,0
106,SAT,1.4215,1.3544,0,0
107,SAT,1.4956,1.4109,2,9
108,SAT,1.9061,1.7785,5,8
109,SAT,1.4005,1.3339,0,0
110,SAT,1.4411,1.373,0,1
111,SAT,1.429,1.3612,0,0
112,SAT,1.658,1.5717,2,2
113,SAT,1.4138,1.3455,0,0
114,SAT,1.405,1.3369,0,1
115,SAT,1.4084,1.3404,1,1
116,SAT,1.4577,1.3682,1,1
117,SAT,1.4506,1.3771,0,0
118,SAT,1.4601,1.3818,1,3
119,SAT,1.4762,1.3963,4,8
120,SAT,1.4941,1.4192,1,5
121,SAT,1.5879,1.5044,6,8
122,SAT,2.3,2.1509,1,3
123,SAT,1.4539,1.3805,2,2
124,SAT,1.5558,1.4518,5,7
125,SAT,1.5263,1.4441,3,6
126,SAT,1.4338,1.3655,0,0
127,SAT,1.454,1.3817,2,4
128,SAT,1.5659,1.4829,4,7
129,SAT,1.4218,1.3479,0,6
130,SAT,1.472,1.4024,2,2
131,SAT,1.4164,1.3479,0,1
132,SAT,1.4235,1.3364,1,2
133,SAT,1.4935,1.4176,4,7
134,SAT,1.4032,1.335,0,0
135,SAT,1.4377,1.3698,0,0
136,SAT,1.4549,1.3844,3,4
137,SAT,1.431,1.3634,0,0
138,SAT,1.4453,1.3731,2,3
139,SAT,1.492,1.3956,2,4
140,SAT,1.4208,1.3494,3,5
141,SAT,1.5202,1.4424,1,3
142,SAT,1.4371,1.3663,2,3
143,SAT,1.4419,1.3654,1,3
144,SAT,1.41,1.3418,0,0
145,SAT,1.4557,1.3815,3,5
146,SAT,1.4025,1.3342,0,0
147,SAT,1.4905,1.3931,1,6
148,SAT,1.7732,1.6771,3,4
149,SAT,1.4153,1.3481,0,0
150,SAT,1.4311,1.3636,0,0
151,SAT,1.4098,1.3402,0,2
152,SAT,1.4713,1.3988,2,4
153,SAT,1.4341,1.3586,1,8
154,SAT,1.4313,1.363,0,1
155,SAT,1.4307,1.3409,0,0
156,SAT,1.4749,1.4001,3,5
157,SAT,1.5451,1.4621,4,7
158,SAT,1.5254,1.4478,1,2
159,SAT,1.4029,1.3355,0,0
160,SAT,1.4354,1.3678,0,0
161,SAT,1.4171,1.3493,0,0
162,SAT,1.4245,1.3567,0,0
163,SAT,1.6576,1.5458,5,11
164,SAT,1.4306,1.3629,0,0
165,SAT,1.4631,1.3867,3,10
166,SAT,1.5088,1.4231,5,10
167,SAT,1.4186,1.3506,0,1
168,SAT,2.0407,1.9262,4,6
169,SAT,1.3997,1.3326,0,0
170,SAT,1.4087,1.3417,0,0
171,SAT,1.4806,1.3831,3,7
172,SAT,1.4311,1.3583,3,7
173,SAT,1.4105,1.3427,0,0
174,SAT,1.5447,1.4677,1,2
175,SAT,1.4494,1.3788,3,6
176,SAT,1.4347,1.3651,0,2
177,SAT,1.4172,1.3454,2,6
178,SAT,1.4916,1.396,4,5
179,SAT,1.4151,1.3476,0,0
180,SAT,1.4175,1.3478,0,4
181,SAT,2.5766,2.4219,2,4
182,SAT,1.4259,1.3584,0,0
183,SAT,1.4015,1.3335,0,0
184,SAT,1.4256,1.3579,0,0
185,SAT,1.5874,1.5053,10,11
