,result,solving Time,deduction Time,backtracks,splits
0,SAT,300.0,0.0,0,5306
1,SAT,212.1107,204.8719,16,1758
2,SAT,74.1286,73.5863,3,7
3,SAT,74.1325,73.6524,1,2
4,SAT,77.8292,77.2189,3,43
5,SAT,86.4027,85.241,5,180
6,SAT,89.5277,88.2315,10,218
7,SAT,76.2861,75.7118,7,28
8,SAT,90.0215,88.6479,9,269
9,SAT,81.1854,80.372,4,113
10,SAT,83.838,82.8974,2,144
11,SAT,146.6184,142.6429,8,1009
12,SAT,101.3376,99.6714,3,367
13,SAT,218.7681,211.9035,5,1548
14,SAT,125.4704,122.654,6,656
15,SAT,205.7381,199.0854,5,1433
16,SAT,300.0,0.0,0,6819
17,SAT,107.8371,105.5895,7,533
18,SAT,300.0,0.0,0,6001
19,SAT,75.2652,74.7415,1,2
20,SAT,203.0729,196.8487,10,1428
21,SAT,158.6847,154.0484,8,1271
22,SAT,75.3179,74.8456,1,1
23,SAT,74.9615,74.5051,0,1
24,SAT,75.5835,75.0538,2,5
25,SAT,108.3668,105.8973,7,743
26,SAT,75.6704,75.1857,1,10
27,SAT,75.3792,74.8452,4,8
28,SAT,75.4617,74.9996,0,1
29,SAT,300.0,0.0,0,5571
30,SAT,80.43,79.6404,9,80
31,SAT,300.0,0.0,0,4993
32,SAT,78.9051,78.215,3,39
33,SAT,97.4399,96.1418,1,200
34,SAT,77.1513,76.5813,3,26
35,SAT,131.8188,128.6699,8,638
36,SAT,75.1611,74.6806,2,7
37,SAT,82.7941,81.896,1,125
38,SAT,83.614,82.6654,3,147
39,SAT,75.2322,74.7481,2,6
40,SAT,76.7697,76.2509,6,26
41,SAT,75.6465,75.1316,1,1
42,SAT,76.2997,75.7611,6,23
43,SAT,109.7828,107.6718,9,456
44,SAT,440.79,422.1808,5,4940
45,SAT,300.0,0.0,0,5396
46,SAT,189.968,184.3888,5,1221
47,SAT,75.1426,74.681,1,1
48,SAT,75.5498,75.0897,1,2
49,SAT,94.9353,93.4931,7,275
50,SAT,255.2931,246.2153,5,2071
51,SAT,300.0,0.0,0,5431
52,SAT,75.2808,74.7638,6,29
53,SAT,141.0291,137.281,10,1069
54,SAT,300.0,0.0,0,5728
55,SAT,123.9229,121.4517,6,531
56,SAT,161.1259,156.8631,5,864
57,SAT,76.0691,75.5583,1,1
58,SAT,436.7462,419.8466,12,3707
59,SAT,78.1634,77.5597,4,32
60,SAT,77.3427,76.7943,3,26
61,SAT,93.1653,91.9476,9,217
62,SAT,86.2021,85.2109,8,147
63,SAT,87.6149,86.6071,3,147
64,SAT,77.7594,77.1857,5,41
65,SAT,388.6161,373.9717,9,3740
66,SAT,289.2088,280.0881,14,2322
67,SAT,79.2517,78.6078,2,57
68,SAT,81.0497,80.2421,3,96
69,SAT,119.9974,117.5131,12,525
70,SAT,109.4443,107.4084,11,480
71,SAT,101.9674,100.5053,12,236
72,SAT,300.0,0.0,0,6627
73,SAT,77.145,76.581,5,13
74,SAT,100.5982,98.9076,5,331
75,SAT,117.8888,115.4353,13,518
76,SAT,300.0,0.0,0,5566
77,SAT,138.9268,135.4203,6,905
78,SAT,136.0554,132.7384,7,815
79,SAT,300.0,0.0,0,7327
80,SAT,76.912,76.356,8,31
81,SAT,300.0,0.0,0,7822
82,SAT,98.6114,96.9067,8,343
83,SAT,451.9336,433.3967,13,4316
84,SAT,300.0,0.0,0,6902
85,SAT,300.0,0.0,0,6407
86,SAT,154.5542,150.3185,8,1101
87,SAT,327.2928,314.9758,12,2875
88,SAT,193.3783,186.9549,5,1769
89,SAT,93.427,92.1235,5,222
90,SAT,300.0,0.0,0,6790
91,SAT,143.7999,140.1311,10,948
92,SAT,94.0758,92.7017,2,238
93,SAT,162.8384,158.2836,6,1047
94,SAT,75.6437,75.1538,2,9
95,SAT,96.9285,95.4468,8,281
96,SAT,97.5446,96.1042,4,255
97,SAT,80.8837,80.1374,5,80
98,SAT,84.9093,83.9422,4,122
99,SAT,75.8962,75.3969,3,11
