,result,solving Time,deduction Time,backtracks,splits
0,SAT,1.6719,1.6094,1,4
1,SAT,1.6094,1.5312,0,0
2,SAT,2.7188,2.5469,35,40
3,SAT,1.9688,1.9062,0,0
4,SAT,1.875,1.7812,0,0
5,SAT,1.6094,1.5469,6,8
6,SAT,1.6562,1.5781,0,0
7,SAT,1.7812,1.7344,0,0
8,SAT,1.5,1.4375,0,0
9,SAT,1.2969,1.2344,1,3
10,SAT,4.4062,4.1719,51,53
11,SAT,2.0781,2.0,0,0
12,SAT,2.0469,1.9219,3,5
13,SAT,1.4219,1.3594,3,5
14,SAT,1.5156,1.4531,1,1
15,SAT,2.2031,2.1406,3,5
16,SAT,2.5,2.4062,0,0
17,SAT,2.2969,2.1719,0,0
18,SAT,1.8906,1.7969,0,0
19,SAT,1.6719,1.6094,0,0
20,SAT,1.6562,1.5781,0,0
21,SAT,1.8438,1.7969,3,4
22,SAT,2.4375,2.2812,6,7
23,SAT,2.3125,2.2344,0,0
24,SAT,1.9531,1.875,1,1
25,SAT,1.9688,1.9062,2,3
26,SAT,1.2969,1.2344,0,2
27,SAT,1.5,1.3906,3,5
28,SAT,1.3594,1.2969,0,0
29,SAT,1.5156,1.4688,0,0
30,SAT,2.0469,1.9844,0,1
31,SAT,2.1719,2.0938,0,0
32,SAT,2.2031,2.1406,2,2
33,SAT,1.5938,1.5312,0,0
34,SAT,1.4844,1.4219,6,13
35,SAT,2.3281,2.2188,15,19
36,SAT,2.2344,2.1562,1,1
37,SAT,1.7031,1.6406,1,4
38,SAT,1.5156,1.4688,0,0
39,SAT,1.5156,1.4375,1,2
40,SAT,2.3125,2.1562,31,32
41,SAT,1.3125,1.2656,0,0
42,SAT,1.375,1.3125,0,0
43,SAT,1.625,1.5469,2,4
44,SAT,1.5156,1.4375,2,2
45,SAT,2.25,2.1406,27,31
46,SAT,1.6562,1.5938,0,0
47,SAT,2.2656,2.1562,0,0
48,SAT,1.7344,1.625,18,20
49,SAT,1.6875,1.6094,21,21
50,SAT,1.2969,1.2344,0,0
51,SAT,1.3281,1.2656,0,0
52,SAT,1.4219,1.3438,7,7
53,SAT,1.3438,1.2969,0,0
54,SAT,1.4062,1.3438,2,3
55,SAT,1.9062,1.8125,22,24
56,SAT,1.4219,1.3594,0,0
57,SAT,1.4531,1.4062,0,0
58,SAT,1.3281,1.2812,2,5
59,SAT,1.4062,1.3125,5,8
60,SAT,1.6875,1.6094,15,18
61,SAT,1.4375,1.375,0,0
62,SAT,1.3281,1.2812,1,1
63,SAT,1.3438,1.2812,0,0
64,SAT,1.3438,1.2969,0,0
65,SAT,1.4688,1.3906,6,9
66,SAT,1.3438,1.2812,0,0
67,SAT,1.4375,1.375,0,1
68,SAT,1.7812,1.7031,0,0
69,SAT,1.8906,1.8125,0,0
70,SAT,3.5312,3.2969,79,82
71,SAT,1.7188,1.6094,4,7
72,SAT,1.7344,1.6406,8,11
73,SAT,2.6875,2.5625,64,65
74,SAT,1.4688,1.3906,0,0
75,SAT,1.3438,1.2812,0,0
76,SAT,1.4062,1.3438,0,0
77,SAT,1.3438,1.2656,0,0
78,SAT,1.375,1.2969,3,7
79,SAT,1.4062,1.3438,0,1
80,SAT,1.9062,1.7344,33,36
81,SAT,1.7344,1.6719,16,16
82,SAT,2.0625,2.0,0,0
83,SAT,2.1562,2.0156,26,29
84,SAT,1.8438,1.7812,0,0
85,SAT,1.3906,1.3438,2,2
86,SAT,1.3281,1.2656,0,4
87,SAT,1.6094,1.5625,0,0
88,SAT,1.375,1.3281,1,1
89,SAT,1.4062,1.3594,0,2
90,SAT,1.4375,1.3438,19,24
91,SAT,1.4688,1.3906,0,3
92,SAT,1.6406,1.5469,17,20
93,SAT,1.3125,1.25,0,0
94,SAT,1.2969,1.2344,0,0
95,SAT,1.3438,1.2969,0,1
96,SAT,1.3281,1.2656,1,2
97,SAT,1.375,1.3125,0,4
98,SAT,1.5469,1.4688,9,11
99,SAT,1.3438,1.2812,0,0
100,SAT,1.375,1.3125,0,0
101,SAT,1.5625,1.5156,0,0
102,SAT,1.4062,1.3125,2,4
103,SAT,1.4531,1.3906,0,1
104,SAT,1.4062,1.3438,0,0
105,SAT,1.7344,1.6719,0,0
106,SAT,1.5156,1.4375,0,0
107,SAT,1.5938,1.5469,4,9
108,SAT,1.3906,1.3438,1,8
109,SAT,1.3906,1.3281,0,0
110,SAT,1.375,1.3125,2,3
111,SAT,1.3594,1.3125,0,0
112,SAT,1.3906,1.3438,1,2
113,SAT,1.375,1.2969,0,0
114,SAT,1.3594,1.2969,0,3
115,SAT,1.3594,1.3125,0,1
116,SAT,1.3281,1.2656,0,1
117,SAT,1.3906,1.3281,0,0
