,result,solving Time,deduction Time,backtracks,splits
0,SAT,78.2969,67.4844,5644,5645
1,SAT,6.1875,5.5312,236,287
2,SAT,83.9062,73.0,5055,5085
3,SAT,80.8281,70.625,4635,4671
4,SAT,179.7031,158.9688,9543,9568
5,SAT,3.8125,3.2656,120,193
6,SAT,12.7031,11.0781,712,776
7,SAT,303.2031,260.75,19858,19910
8,SAT,235.9688,201.7969,15407,15438
9,SAT,4.375,3.7969,161,237
10,SAT,67.9219,58.9844,4112,4131
11,SAT,113.5312,97.5156,7865,7892
12,SAT,223.3125,191.3438,15622,15630
13,SAT,207.3281,178.3438,13913,13935
14,SAT,308.625,265.1094,21292,21335
15,SAT,2.1719,2.0312,10,42
16,SAT,2.3438,2.125,36,58
17,SAT,7.875,7.0469,399,429
