,result,solving Time,deduction Time,backtracks,splits
0,SAT,123.7766,96.4121,1,2
1,SAT,7.9955,6.679,2,53
2,SAT,136.9442,110.7193,2,32
3,SAT,117.2649,94.4195,2,38
4,SAT,258.8859,211.5037,3,27
5,SAT,3.7345,2.9689,2,75
6,SAT,16.3942,13.0928,3,67
7,SAT,659.621,515.6037,3,55
8,SAT,333.9435,264.4706,3,34
9,SAT,5.8985,4.7682,2,78
10,SAT,111.5839,89.249,2,21
11,SAT,159.3323,125.9559,3,30
12,SAT,347.1706,273.0121,1,9
13,SAT,336.9782,265.5555,3,25
14,SAT,536.2173,420.2344,4,47
15,SAT,2.1868,1.9006,1,33
16,SAT,2.5398,2.1882,1,23
17,SAT,9.8651,8.1843,2,32
18,SAT,335.4331,263.2,4,24
19,SAT,959.0528,772.0445,4,61
20,SAT,18.0532,14.5463,1,35
21,SAT,53.9111,44.8414,2,6
22,SAT,223.8739,176.8598,4,39
23,SAT,78.0411,63.5873,3,46
24,SAT,77.1204,63.4332,2,23
25,SAT,1.3699,1.2981,0,0
26,SAT,109.7255,87.7647,3,26
27,SAT,1.2989,1.233,0,0
28,SAT,22.1661,18.0847,4,18
29,SAT,132.5186,106.6782,3,26
30,SAT,1.4699,1.3652,1,6
31,SAT,74.0789,60.1908,4,37
32,SAT,35.907,29.2776,4,44
33,SAT,47.3135,39.616,3,22
34,SAT,72.6297,57.7381,4,37
