,result,solving Time,deduction Time,backtracks,splits
0,SAT,118.8438,117.7969,5,17
1,SAT,115.0938,114.0469,3,15
2,SAT,115.0312,114.0469,5,7
3,SAT,123.8594,122.75,3,11
4,SAT,115.7656,114.7969,0,6
5,SAT,118.375,117.2812,23,28
6,SAT,119.2344,118.1562,32,37
7,SAT,119.6875,118.8125,8,15
8,SAT,117.4531,116.4219,11,12
9,SAT,119.0938,118.3125,0,6
10,SAT,112.2812,111.4688,3,11
11,SAT,119.5469,118.2656,34,52
12,SAT,114.7812,113.7344,16,20
13,SAT,126.375,124.8906,41,50
14,SAT,111.5156,110.6875,0,1
15,SAT,112.5312,111.3594,5,16
16,SAT,127.9219,125.625,142,148
17,SAT,119.1562,117.9062,35,38
18,SAT,117.3281,116.2188,16,24
