,result,solving Time,deduction Time,backtracks,splits
792,SAT,1.2344,1.1719,0,0
793,SAT,1.2812,1.2188,1,2
794,SAT,1.2656,1.2031,0,0
795,SAT,1.5938,1.4844,21,28
796,SAT,4.6562,4.2812,207,229
797,SAT,1.3438,1.2969,4,4
798,SAT,1.3281,1.2656,0,0
799,SAT,1.3594,1.3125,1,19
800,SAT,1.375,1.2969,9,31
801,SAT,1.9219,1.7812,32,51
802,SAT,1.6094,1.5469,1,2
803,SAT,4.4062,4.0625,174,192
804,SAT,2.1875,2.1406,0,2
805,SAT,1.5312,1.4531,9,18
806,SAT,1.5781,1.5156,11,12
807,SAT,2.0938,2.0312,2,3
808,SAT,1.6875,1.5781,12,28
809,SAT,4.4844,4.1406,146,159
810,SAT,1.4531,1.3906,4,5
811,SAT,1.7656,1.5938,18,40
812,SAT,2.3281,2.125,59,92
813,SAT,1.2656,1.2031,0,0
814,SAT,1.5,1.4375,0,0
815,SAT,1.3594,1.2812,0,0
816,SAT,1.2344,1.1875,0,0
817,SAT,1.5156,1.4531,14,23
818,SAT,1.8594,1.5625,15,44
819,SAT,1.5156,1.4688,1,3
820,SAT,1.4375,1.3594,2,3
821,SAT,1.3594,1.3125,1,1
822,SAT,1.5781,1.5,1,1
823,SAT,2.0312,1.875,28,31
824,SAT,2.6094,2.4062,75,82
825,SAT,1.4219,1.3438,2,4
826,SAT,1.2812,1.2344,0,0
827,SAT,1.4062,1.3125,3,4
828,SAT,1.7344,1.6094,14,32
829,SAT,1.4844,1.4062,4,4
830,SAT,1.2969,1.2344,0,2
831,SAT,1.2188,1.1719,0,0
832,SAT,1.25,1.1875,9,12
833,SAT,1.4688,1.3906,2,3
834,SAT,1.2031,1.1406,0,0
835,SAT,4.5,4.0469,253,277
836,SAT,1.5938,1.5312,0,0
837,SAT,1.5312,1.4688,5,6
838,SAT,1.2812,1.2344,0,0
839,SAT,1.8125,1.6875,33,47
840,SAT,1.7344,1.6719,0,1
841,SAT,1.3281,1.2344,0,2
842,SAT,2.9062,2.7812,47,51
843,SAT,2.5312,2.3906,19,22
844,SAT,3.75,3.4844,32,61
845,SAT,3.1719,3.0,4,22
846,SAT,2.5312,2.3906,1,1
847,SAT,1.5469,1.4531,0,3
848,SAT,1.3438,1.2812,0,0
849,SAT,1.5312,1.4688,0,2
850,SAT,1.4062,1.3438,1,1
851,SAT,1.8281,1.7344,4,4
852,SAT,1.4531,1.3438,0,2
853,SAT,1.4375,1.3594,1,1
854,SAT,1.5,1.4531,3,5
855,SAT,1.2656,1.2188,1,3
856,SAT,1.625,1.5469,9,15
857,SAT,4.1719,3.9688,168,175
858,SAT,1.25,1.1875,1,3
859,SAT,1.5938,1.5156,21,30
860,SAT,1.3125,1.25,0,2
861,SAT,2.3281,2.1875,55,56
862,SAT,1.5,1.4375,0,2
863,SAT,1.2812,1.2344,0,1
864,SAT,1.5625,1.4688,11,20
865,SAT,2.7188,2.5469,122,129
866,SAT,1.4062,1.3594,3,3
867,SAT,1.5781,1.5156,3,3
868,SAT,1.4531,1.3281,3,20
869,SAT,1.3906,1.3281,1,1
870,SAT,1.4688,1.4062,1,2
871,SAT,1.6094,1.5469,2,3
872,SAT,1.9375,1.8125,32,40
873,SAT,1.4688,1.4062,0,1
874,SAT,1.2969,1.2188,2,5
875,SAT,1.7344,1.625,30,43
876,SAT,2.4375,2.25,22,30
877,SAT,1.7812,1.6562,2,2
878,SAT,1.4219,1.3594,0,1
879,SAT,1.4219,1.3438,1,1
880,SAT,1.5156,1.4531,3,8
881,SAT,2.3906,2.2344,65,65
882,SAT,1.4219,1.3594,0,2
883,SAT,1.5,1.4531,0,2
884,SAT,1.5625,1.5,0,0
885,SAT,1.2812,1.2188,2,3
886,SAT,1.25,1.2031,1,2
887,SAT,1.3438,1.2812,0,0
888,SAT,1.3438,1.2656,0,3
889,SAT,1.3125,1.2656,5,6
890,SAT,1.2969,1.2344,0,1
891,SAT,1.4062,1.3281,9,23
892,SAT,1.3438,1.2812,1,1
893,SAT,1.3125,1.2656,0,1
894,SAT,1.6094,1.5625,0,2
895,SAT,1.9375,1.8594,4,6
896,SAT,2.1875,2.0781,57,71
897,SAT,1.6719,1.6094,1,17
898,SAT,1.3906,1.3281,0,0
899,SAT,1.5781,1.5156,0,2
900,SAT,1.5312,1.4531,5,20
901,SAT,1.4375,1.3281,2,4
902,SAT,2.7188,2.5469,83,90
903,SAT,1.7031,1.5625,31,44
904,SAT,3.1406,2.8906,116,139
905,SAT,1.8594,1.7188,30,54
906,SAT,2.0156,1.9062,45,54
907,SAT,1.5469,1.4531,14,23
908,SAT,1.3594,1.3125,3,6
